Customer,Salesperson,Total,Invoice Status,order_date_year,order_date_month,order_date_day,order_date_day_of_week,order_date_hour,order_date_is_weekend
29,0,8.570179302181305,0,2026,2,26,3,13.0,0
29,1,4.3499165807556475,0,2026,2,26,3,13.0,0
39,0,5.1298987149230735,0,2026,1,27,1,10.0,0
27,0,4.388778787496415,0,2026,1,26,0,14.0,0
27,0,8.031315432213907,0,2026,1,26,0,14.0,0
27,0,7.117259840698577,0,2026,1,26,0,14.0,0
27,0,6.824688837763826,0,2026,1,26,0,14.0,0
27,0,6.630781006207145,0,2026,1,26,0,14.0,0
27,0,7.022084356587004,0,2026,1,26,0,13.0,0
27,0,7.347990827839184,0,2026,1,26,0,13.0,0
27,0,7.038834417287323,0,2026,1,26,0,13.0,0
27,0,7.101250840077673,0,2026,1,26,0,13.0,0
27,0,7.353713367491347,0,2026,1,26,0,13.0,0
27,0,7.888272983467661,0,2026,1,26,0,13.0,0
27,0,7.2661280807441875,0,2026,1,26,0,13.0,0
27,0,6.819542453269221,0,2026,1,26,0,13.0,0
25,1,8.570179302181305,0,2026,1,26,0,13.0,0
87,1,8.570179302181305,0,2026,1,26,0,11.0,0
67,1,8.570179302181305,0,2026,1,26,0,11.0,0
60,1,5.978252653135751,0,2026,1,26,0,11.0,0
46,0,7.296534617343088,0,2026,1,26,0,10.0,0
70,1,8.475413446733015,0,2026,1,26,0,10.0,0
82,1,7.767898850233291,0,2026,1,26,0,10.0,0
27,0,5.0294832174416,0,2026,1,24,5,17.0,0
27,0,4.93270258103983,0,2026,1,24,5,17.0,0
83,1,6.976301384017152,0,2026,1,24,5,10.0,0
79,0,7.4114052189990325,0,2026,1,24,5,10.0,0
63,0,6.8559650190223875,0,2026,1,24,5,10.0,0
83,1,6.75864603639428,0,2026,1,24,5,9.0,0
39,0,5.065754593317335,0,2026,1,23,4,13.0,0
1,0,7.1105124326394025,0,2026,1,23,4,10.0,0
52,0,7.595232415178949,0,2026,1,23,4,10.0,0
29,0,4.996671587078869,0,2026,1,22,3,18.0,0
29,0,5.922650231107622,0,2026,1,22,3,18.0,0
29,0,7.844326955113222,0,2026,1,22,3,17.0,0
29,0,8.446150363059873,0,2026,1,22,3,17.0,0
29,0,8.239131362341448,0,2026,1,22,3,17.0,0
29,0,8.307659109718086,0,2026,1,22,3,17.0,0
29,0,4.785823685681349,0,2026,1,22,3,17.0,0
29,0,8.201306412854132,0,2026,1,22,3,16.0,0
29,0,5.531807209916391,0,2026,1,22,3,16.0,0
25,0,8.570179302181305,0,2026,1,22,3,13.0,0
19,0,8.570179302181305,0,2026,1,22,3,11.0,0
29,0,4.812184355372417,0,2026,1,22,3,11.0,0
29,0,4.7063720664970585,0,2026,1,22,3,11.0,0
53,0,7.549944372124292,0,2026,1,22,3,10.0,0
29,2,5.673013940984565,0,2026,1,22,3,9.0,0
29,2,5.915123313851259,0,2026,1,22,3,9.0,0
29,2,5.621849091893515,0,2026,1,22,3,9.0,0
29,2,5.483551344789026,0,2026,1,22,3,4.0,0
29,2,5.802480847440477,0,2026,1,21,2,23.0,0
29,0,8.086693312188148,0,2026,1,21,2,19.0,0
22,0,5.102886253800363,0,2026,1,21,2,12.0,0
77,0,7.808529042988646,0,2026,1,21,2,10.0,0
91,0,7.750086827632948,0,2026,1,21,2,10.0,0
43,0,8.055475141757274,0,2026,1,20,1,18.0,0
53,0,7.775251066675436,0,2026,1,20,1,17.0,0
25,0,8.570179302181305,0,2026,1,20,1,13.0,0
47,0,8.264533029470405,0,2026,1,20,1,11.0,0
47,0,8.570179302181305,0,2026,1,20,1,11.0,0
40,0,8.418315836802336,0,2026,1,20,1,10.0,0
80,1,6.160151912626133,0,2026,1,20,1,10.0,0
90,0,6.845560675389019,0,2026,1,20,1,10.0,0
57,0,7.437706830546604,0,2026,1,20,1,10.0,0
48,1,6.160151912626133,0,2026,1,20,1,10.0,0
83,1,8.104250193452113,0,2026,1,20,1,10.0,0
39,0,5.065754593317335,0,2026,1,19,0,14.0,0
37,0,8.570179302181305,0,2026,1,17,5,16.0,0
87,1,8.570179302181305,0,2026,1,17,5,13.0,0
94,1,7.4542314041192785,0,2026,1,17,5,13.0,0
27,0,5.925733314973349,0,2026,1,17,5,12.0,0
32,0,7.100249914096429,0,2026,1,17,5,12.0,0
4,1,8.570179302181305,0,2026,1,17,5,11.0,0
54,0,7.400880164933768,0,2026,1,17,5,10.0,0
27,0,7.080289933234456,0,2026,1,16,4,19.0,0
34,0,4.484131857611035,0,2026,1,16,4,16.0,0
25,0,8.570179302181305,0,2026,1,16,4,16.0,0
39,0,6.0965225170034545,0,2026,1,16,4,14.0,0
29,0,5.193456725931862,0,2026,1,16,4,12.0,0
29,0,8.272356026016771,0,2026,1,16,4,12.0,0
29,0,7.886017489958992,0,2026,1,16,4,12.0,0
81,0,7.444820415831738,0,2026,1,16,4,10.0,0
15,0,5.978252653135751,0,2026,1,16,4,10.0,0
68,0,8.570179302181305,0,2026,1,15,3,18.0,0
40,0,7.914231445192091,0,2026,1,15,3,18.0,0
40,0,8.570179302181305,0,2026,1,15,3,16.0,0
65,1,6.5805892053865005,0,2026,1,15,3,16.0,0
15,0,7.407960101179694,0,2026,1,15,3,12.0,0
84,0,5.566816619583044,0,2026,1,15,3,12.0,0
14,1,5.978252653135751,0,2026,1,15,3,12.0,0
65,1,0.0,0,2026,1,15,3,11.0,0
5,0,8.570179302181305,0,2026,1,14,2,16.0,0
5,0,7.38735397796348,0,2026,1,14,2,16.0,0
92,0,5.94085522928144,0,2026,1,14,2,16.0,0
56,0,7.921989085186256,0,2026,1,14,2,16.0,0
56,0,8.414777889909693,0,2026,1,14,2,16.0,0
14,1,6.143359112393133,0,2026,1,14,2,16.0,0
13,0,6.803455311854965,0,2026,1,14,2,15.0,0
92,0,5.585149077544979,0,2026,1,14,2,15.0,0
92,0,5.145923475995771,0,2026,1,14,2,15.0,0
20,0,7.640789296939185,0,2026,1,14,2,14.0,0
7,0,6.447256732966705,0,2026,1,14,2,14.0,0
87,1,6.251957831614306,0,2026,1,14,2,14.0,0
19,1,8.570179302181305,0,2026,1,14,2,14.0,0
72,0,7.74197658410777,0,2026,1,14,2,14.0,0
51,0,6.3219546406230736,0,2026,1,14,2,14.0,0
45,0,7.338777666399045,0,2026,1,14,2,14.0,0
79,0,8.348377537919536,0,2026,1,14,2,14.0,0
66,0,7.956766524807548,0,2026,1,14,2,14.0,0
39,0,5.770584058135404,0,2026,1,14,2,14.0,0
87,1,7.235246593293278,0,2026,1,14,2,14.0,0
58,0,7.680479982110726,0,2026,1,14,2,14.0,0
2,0,6.139992305041402,0,2026,1,14,2,14.0,0
3,0,7.183324283550116,0,2026,1,14,2,14.0,0
14,1,6.885127183808351,0,2026,1,14,2,13.0,0
2,0,6.601914666980944,0,2026,1,14,2,13.0,0
63,0,7.072613570038675,0,2026,1,14,2,13.0,0
53,0,8.030872845621413,0,2026,1,14,2,13.0,0
75,0,8.570179302181305,0,2026,1,14,2,12.0,0
75,0,8.570179302181305,0,2026,1,14,2,11.0,0
65,0,8.570179302181305,0,2026,1,14,2,11.0,0
47,0,8.570179302181305,0,2026,1,14,2,11.0,0
47,0,8.570179302181305,0,2026,1,14,2,11.0,0
47,0,8.570179302181305,0,2026,1,14,2,11.0,0
47,0,8.570179302181305,0,2026,1,14,2,11.0,0
12,0,6.852242569051878,0,2026,1,14,2,10.0,0
27,0,6.1948848679739985,0,2026,1,12,0,15.0,0
27,0,4.091824723426633,0,2026,1,12,0,15.0,0
68,0,6.845560675389019,0,2026,1,12,0,9.0,0
50,0,6.314000842300227,0,2026,1,12,0,9.0,0
27,0,7.885789253841534,0,2026,1,10,5,17.0,0
22,0,0.0,0,2026,1,10,5,17.0,0
65,1,8.570179302181305,0,2026,1,10,5,17.0,0
25,0,8.570179302181305,0,2026,1,10,5,16.0,0
25,0,8.570179302181305,0,2026,1,10,5,15.0,0
27,0,5.614656135437122,0,2026,1,10,5,14.0,0
29,0,8.233896157282183,0,2026,1,10,5,14.0,0
27,0,5.526468359672785,0,2026,1,10,5,14.0,0
27,0,7.134624680687391,0,2026,1,10,5,14.0,0
27,0,6.326913045602378,0,2026,1,10,5,14.0,0
27,0,7.406553462195408,0,2026,1,10,5,14.0,0
27,0,6.492642784128604,0,2026,1,10,5,14.0,0
83,1,6.670132406403093,0,2026,1,10,5,12.0,0
48,1,6.447305862541213,0,2026,1,10,5,10.0,0
39,0,5.520860737790214,0,2026,1,10,5,10.0,0
86,0,7.6831043729138635,0,2026,1,9,4,18.0,0
26,0,4.734178866551625,0,2026,1,9,4,15.0,0
18,1,5.574053367981417,0,2026,1,9,4,11.0,0
15,0,6.160151912626133,0,2026,1,9,4,10.0,0
18,1,6.504497732415973,0,2026,1,8,3,15.0,0
79,0,6.670132406403093,0,2026,1,8,3,11.0,0
27,0,7.41264934579469,0,2026,1,8,3,11.0,0
12,0,8.157928611548666,0,2026,1,7,2,16.0,0
46,0,6.447305862541213,0,2026,1,7,2,15.0,0
29,0,8.461344272754284,0,2026,1,7,2,14.0,0
29,0,8.411381462866071,0,2026,1,7,2,14.0,0
67,1,8.570179302181305,0,2026,1,7,2,10.0,0
48,1,6.160151912626133,0,2026,1,7,2,10.0,0
29,0,8.570179302181305,0,2026,1,6,1,19.0,0
25,0,8.570179302181305,0,2026,1,6,1,19.0,0
65,1,8.570179302181305,0,2026,1,6,1,11.0,0
29,0,8.098685396045546,0,2026,1,5,0,18.0,0
25,0,8.570179302181305,0,2026,1,5,0,18.0,0
26,0,4.46580466502758,0,2026,1,5,0,13.0,0
29,0,7.555936473872119,0,2026,1,3,5,17.0,0
27,0,7.595038801853322,0,2026,1,3,5,17.0,0
25,0,8.570179302181305,0,2026,1,3,5,17.0,0
27,0,7.36287493947334,0,2026,1,3,5,17.0,0
29,0,8.535180446430624,0,2026,1,3,5,17.0,0
29,0,8.570179302181305,0,2026,1,3,5,17.0,0
22,0,5.351858133476067,0,2026,1,3,5,12.0,0
18,1,7.08313613809676,0,2026,1,3,5,12.0,0
92,0,6.612578524768096,0,2026,1,3,5,11.0,0
92,0,6.670132406403093,0,2026,1,3,5,10.0,0
92,0,6.160151912626133,0,2026,1,3,5,10.0,0
26,0,5.3132158312100035,0,2026,1,2,4,17.0,0
26,0,5.384517998305885,0,2026,1,2,4,17.0,0
26,0,4.615041305783355,0,2026,1,2,4,17.0,0
26,0,4.753598811758862,0,2026,1,2,4,17.0,0
27,0,8.017292670783263,0,2026,1,2,4,16.0,0
27,0,7.141342504782065,0,2026,1,2,4,16.0,0
59,1,8.570179302181305,0,2026,1,2,4,15.0,0
29,0,8.313636557860068,0,2025,12,30,1,15.0,0
27,0,7.0078919742172605,0,2025,12,30,1,15.0,0
92,0,5.395670911803947,0,2025,12,30,1,14.0,0
92,0,4.810557015713042,0,2025,12,30,1,14.0,0
84,0,6.105462651161393,0,2025,12,30,1,14.0,0
92,0,6.7325920401864945,0,2025,12,30,1,14.0,0
48,1,6.160151912626133,0,2025,12,30,1,14.0,0
57,0,6.581055139509627,0,2025,12,30,1,14.0,0
6,0,7.342944871398695,0,2025,12,30,1,14.0,0
70,1,7.645158550796619,0,2025,12,30,1,14.0,0
39,0,5.488834415035153,0,2025,12,30,1,14.0,0
42,0,5.755742213586912,0,2025,12,30,1,14.0,0
42,0,7.02509377139937,0,2025,12,30,1,14.0,0
53,0,8.180576024293106,0,2025,12,30,1,13.0,0
74,1,7.362645270417825,0,2025,12,30,1,12.0,0
25,0,8.570179302181305,0,2025,12,30,1,11.0,0
67,1,8.570179302181305,0,2025,12,30,1,11.0,0
22,0,7.411278303557785,0,2025,12,30,1,10.0,0
22,0,6.718735338020089,0,2025,12,30,1,10.0,0
88,0,8.570179302181305,0,2025,12,27,5,15.0,0
27,0,6.629865108992825,0,2025,12,27,5,11.0,0
27,0,7.389599777619026,0,2025,12,27,5,11.0,0
26,0,4.4543240401691335,0,2025,12,27,5,10.0,0
25,0,8.570179302181305,0,2025,12,27,5,10.0,0
29,0,8.07491678518178,0,2025,12,27,5,10.0,0
28,0,4.548811452318707,0,2025,12,26,4,15.0,0
